data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', '5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.06']"
"['592F[4.00,0.00,0.00]=1.31', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.50', 'le_us=2777', 'est[2.90,0.54,-0.23,53]']"
"['592F[4.00,0.00,0.00]=1.18', 'CD37[0.00,0.00,0.00]=3.00', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.54', 'le_us=3173', 'est[2.91,0.53,-0.21,54]']"
"['592F[4.00,0.00,0.00]=1.28', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.61', '1495[0.00,4.00,0.00]=4.47', 'le_us=2746', 'est[2.90,0.55,-0.20,52]']"
"['592F[4.00,0.00,0.00]=1.22', 'CD37[0.00,0.00,0.00]=2.92', '5B01[4.00,4.00,0.00]=3.61', '1495[0.00,4.00,0.00]=4.39', 'le_us=3356', 'est[2.91,0.56,-0.27,52]']"
"['592F[4.00,0.00,0.00]=1.21', 'CD37[0.00,0.00,0.00]=2.94', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.42', 'le_us=3387', 'est[2.87,0.51,-0.05,56]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.99', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.46', 'le_us=3051', 'est[2.87,0.51,0.11,55]']"
"['592F[4.00,0.00,0.00]=1.21', 'CD37[0.00,0.00,0.00]=3.01', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.35', 'le_us=3143', 'est[2.84,0.48,0.20,55]']"
"['592F[4.00,0.00,0.00]=1.19', 'CD37[0.00,0.00,0.00]=2.92', '5B01[4.00,4.00,0.00]=3.62', '1495[0.00,4.00,0.00]=4.45', 'le_us=3387', 'est[2.84,0.48,0.24,54]']"
"['592F[4.00,0.00,0.00]=1.23', 'CD37[0.00,0.00,0.00]=3.03', '5B01[4.00,4.00,0.00]=3.61', '1495[0.00,4.00,0.00]=4.41', 'le_us=3234', 'est[2.88,0.53,0.04,52]']"
"['592F[4.00,0.00,0.00]=1.25', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.41', 'le_us=3234', 'est[2.89,0.55,-0.10,53]']"
"['592F[4.00,0.00,0.00]=1.22', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.40', 'le_us=3234', 'est[2.91,0.58,-0.20,52]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.94', '5B01[4.00,4.00,0.00]=3.62', '1495[0.00,4.00,0.00]=5.47', 'le_us=4821', 'est[2.90,0.57,-0.18,53]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.91', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.46', 'le_us=3234', 'est[2.90,0.56,-0.28,54]']"
"['592F[4.00,0.00,0.00]=1.20', 'CD37[0.00,0.00,0.00]=2.97', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.43', 'le_us=3234', 'est[2.92,0.58,-0.34,53]']"
"['592F[4.00,0.00,0.00]=1.20', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.40', 'le_us=3540', 'est[2.89,0.53,-0.10,56]']"
"['592F[4.00,0.00,0.00]=1.20', 'CD37[0.00,0.00,0.00]=2.97', '5B01[4.00,4.00,0.00]=3.71', '1495[0.00,4.00,0.00]=4.44', 'le_us=2990', 'est[2.91,0.55,-0.21,53]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.96', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.48', 'le_us=2777', 'est[2.90,0.55,-0.23,53]']"
"['592F[4.00,0.00,0.00]=1.22', 'CD37[0.00,0.00,0.00]=2.92', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.35', 'le_us=3509', 'est[2.86,0.51,-0.04,55]']"
"['592F[4.00,0.00,0.00]=1.23', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.45', 'le_us=3326', 'est[2.88,0.52,-0.17,54]']"
"['592F[4.00,0.00,0.00]=1.29', 'CD37[0.00,0.00,0.00]=2.92', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=5.50', 'le_us=4821', 'est[2.87,0.53,-0.19,53]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.43', 'le_us=3234', 'est[2.89,0.55,-0.29,53]']"
"['592F[4.00,0.00,0.00]=1.24', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.84', 'le_us=3814', 'est[2.89,0.54,-0.30,54]']"
"['592F[4.00,0.00,0.00]=1.23', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.39', 'le_us=3204', 'est[2.90,0.56,-0.34,52]']"
"['592F[4.00,0.00,0.00]=1.21', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.42', 'le_us=3356', 'est[2.91,0.57,-0.38,53]']"
"['592F[4.00,0.00,0.00]=1.24', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.41', 'le_us=3356', 'est[2.91,0.58,-0.41,53]']"
"['592F[4.00,0.00,0.00]=1.28', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=5.47', 'le_us=4852', 'est[2.90,0.56,-0.39,54]']"
"['592F[4.00,0.00,0.00]=1.21', 'CD37[0.00,0.00,0.00]=2.97', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.38', 'le_us=3173', 'est[2.87,0.52,-0.16,56]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.55', 'le_us=3021', 'est[2.87,0.51,-0.19,54]']"
"['592F[4.00,0.00,0.00]=1.21', 'CD37[0.00,0.00,0.00]=2.89', '5B01[4.00,4.00,0.00]=3.60', '1495[0.00,4.00,0.00]=4.40', 'le_us=3418', 'est[2.88,0.53,-0.24,53]']"
"['592F[4.00,0.00,0.00]=1.17', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.71', '1495[0.00,4.00,0.00]=4.53', 'le_us=3387', 'est[2.87,0.50,-0.07,56]']"
"['592F[4.00,0.00,0.00]=1.20', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.47', 'le_us=3387', 'est[2.89,0.51,-0.18,54]']"
"['592F[4.00,0.00,0.00]=1.23', 'CD37[0.00,0.00,0.00]=2.92', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.52', 'le_us=3540', 'est[2.90,0.50,-0.29,55]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.96', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.90', 'le_us=3936', 'est[2.90,0.51,-0.28,53]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.99', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.55', 'le_us=2777', 'est[2.90,0.51,-0.31,54]']"
"['592F[4.00,0.00,0.00]=1.21', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.39', 'le_us=3540', 'est[2.87,0.48,-0.10,56]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.96', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.45', 'le_us=3265', 'est[2.88,0.50,-0.23,54]']"
"['592F[4.00,0.00,0.00]=1.31', 'CD37[0.00,0.00,0.00]=2.90', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.41', 'le_us=3265', 'est[2.88,0.52,-0.32,53]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.92', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.38', 'le_us=3234', 'est[2.89,0.55,-0.37,52]']"
"['592F[4.00,0.00,0.00]=1.20', 'CD37[0.00,0.00,0.00]=2.87', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.38', 'le_us=3570', 'est[2.87,0.51,-0.13,56]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=3.00', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=5.57', 'le_us=4852', 'est[2.88,0.51,-0.20,54]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=3.00', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.48', 'le_us=2990', 'est[2.89,0.52,-0.25,54]']"
"['592F[4.00,0.00,0.00]=1.25', 'CD37[0.00,0.00,0.00]=2.96', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.44', 'le_us=3234', 'est[2.91,0.54,-0.33,53]']"
"['592F[4.00,0.00,0.00]=1.24', 'CD37[0.00,0.00,0.00]=2.96', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.45', 'le_us=3265', 'est[2.92,0.55,-0.40,53]']"
"['592F[4.00,0.00,0.00]=1.20', 'CD37[0.00,0.00,0.00]=2.94', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.53', 'le_us=3601', 'est[2.92,0.53,-0.16,56]']"
"['592F[4.00,0.00,0.00]=1.22', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.44', 'le_us=3387', 'est[2.92,0.54,-0.24,53]']"
"['592F[4.00,0.00,0.00]=1.22', 'CD37[0.00,0.00,0.00]=2.94', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=5.53', 'le_us=5218', 'est[2.92,0.52,-0.34,56]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.89', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.44', 'le_us=3418', 'est[2.92,0.53,-0.40,54]']"
"['592F[4.00,0.00,0.00]=1.28', 'CD37[0.00,0.00,0.00]=2.87', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.46', 'le_us=3631', 'est[2.90,0.51,-0.15,55]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.99', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.40', 'le_us=3234', 'est[2.91,0.55,-0.27,52]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.38', 'le_us=3204', 'est[2.92,0.58,-0.33,52]']"
"['592F[4.00,0.00,0.00]=1.18', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.62', '1495[0.00,4.00,0.00]=4.46', 'le_us=3387', 'est[2.90,0.55,-0.16,54]']"
"['592F[4.00,0.00,0.00]=1.20', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.37', 'le_us=3295', 'est[2.86,0.51,0.00,56]']"
"['592F[4.00,0.00,0.00]=1.21', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.59', '1495[0.00,4.00,0.00]=4.47', 'le_us=3387', 'est[2.88,0.52,-0.14,54]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.38', 'le_us=3234', 'est[2.90,0.55,-0.23,52]']"
"['592F[4.00,0.00,0.00]=1.23', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.46', 'le_us=3204', 'est[2.90,0.55,-0.31,54]']"
"['592F[4.00,0.00,0.00]=1.21', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.37', 'le_us=3143', 'est[2.86,0.51,-0.11,56]']"
"['592F[4.00,0.00,0.00]=1.24', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.62', '1495[0.00,4.00,0.00]=4.44', 'le_us=3204', 'est[2.89,0.53,-0.23,53]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.90', '5B01[4.00,4.00,0.00]=3.60', '1495[0.00,4.00,0.00]=4.53', 'le_us=3295', 'est[2.89,0.53,-0.32,54]']"
"['592F[4.00,0.00,0.00]=1.29', 'CD37[0.00,0.00,0.00]=2.91', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.40', 'le_us=3234', 'est[2.89,0.55,-0.39,53]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.99', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.46', 'le_us=3082', 'est[2.87,0.53,-0.16,55]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.92', '5B01[4.00,4.00,0.00]=3.60', '1495[0.00,4.00,0.00]=4.48', 'le_us=3265', 'est[2.87,0.53,-0.14,52]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.96', '5B01[4.00,4.00,0.00]=3.56', '1495[0.00,4.00,0.00]=4.62', 'le_us=3784', 'est[2.89,0.54,-0.27,54]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.90', '5B01[4.00,4.00,0.00]=3.62', '1495[0.00,4.00,0.00]=4.52', 'le_us=3295', 'est[2.90,0.52,-0.10,55]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.96', '5B01[4.00,4.00,0.00]=3.62', '1495[0.00,4.00,0.00]=4.54', 'le_us=3051', 'est[2.90,0.53,-0.14,53]']"
"['592F[4.00,0.00,0.00]=1.18', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.55', 'le_us=3418', 'est[2.92,0.52,-0.25,56]']"
"['592F[4.00,0.00,0.00]=1.28', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.57', 'le_us=3082', 'est[2.93,0.50,-0.05,56]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.57', 'le_us=3143', 'est[2.93,0.48,0.09,56]']"
"['592F[4.00,0.00,0.00]=1.25', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.53', 'le_us=3021', 'est[2.92,0.49,0.02,53]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.94', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.52', 'le_us=2807', 'est[2.91,0.50,-0.05,53]']"
"['592F[4.00,0.00,0.00]=1.22', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.58', 'le_us=3051', 'est[2.91,0.50,-0.07,54]']"
"['592F[4.00,0.00,0.00]=1.24', 'CD37[0.00,0.00,0.00]=2.94', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.49', 'le_us=3540', 'est[2.90,0.49,0.09,55]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.93', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.52', 'le_us=2746', 'est[2.89,0.50,0.01,53]']"
"['592F[4.00,0.00,0.00]=1.21', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.70', '1495[0.00,4.00,0.00]=4.51', 'le_us=3234', 'est[2.91,0.51,-0.15,55]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.97', '5B01[4.00,4.00,0.00]=3.60', 'le_us=640', 'est[2.91,0.53,-0.17,74]']"
"['592F[4.00,0.00,0.00]=1.25', 'CD37[0.00,0.00,0.00]=2.94', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.53', 'le_us=3021', 'est[2.90,0.53,-0.17,53]']"
"['592F[4.00,0.00,0.00]=1.22', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.56', 'le_us=3021', 'est[2.91,0.53,-0.18,53]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.91', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.55', 'le_us=3295', 'est[2.92,0.51,-0.04,56]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.51', 'le_us=2746', 'est[2.91,0.51,-0.11,53]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=3.04', '5B01[4.00,4.00,0.00]=3.62', '1495[0.00,4.00,0.00]=4.53', 'le_us=2807', 'est[2.92,0.53,-0.19,54]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.97', '5B01[4.00,4.00,0.00]=3.71', '1495[0.00,4.00,0.00]=4.50', 'le_us=3082', 'est[2.90,0.50,-0.00,56]']"
"['592F[4.00,0.00,0.00]=1.22', 'CD37[0.00,0.00,0.00]=3.01', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.57', 'le_us=2807', 'est[2.91,0.51,-0.08,54]']"
"['592F[4.00,0.00,0.00]=1.30', 'CD37[0.00,0.00,0.00]=2.96', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.60', 'le_us=3143', 'est[2.90,0.52,-0.15,53]']"
"['592F[4.00,0.00,0.00]=1.25', 'CD37[0.00,0.00,0.00]=2.97', '5B01[4.00,4.00,0.00]=3.70', '1495[0.00,4.00,0.00]=4.49', 'le_us=3082', 'est[2.89,0.50,0.02,55]']"
"['592F[4.00,0.00,0.00]=1.28', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.72', '1495[0.00,4.00,0.00]=4.54', 'le_us=2777', 'est[2.89,0.49,-0.10,55]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=3.01', '5B01[4.00,4.00,0.00]=3.73', '1495[0.00,4.00,0.00]=4.59', 'le_us=2807', 'est[2.90,0.48,-0.20,56]']"
"['592F[4.00,0.00,0.00]=1.29', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.54', 'le_us=2777', 'est[2.90,0.49,-0.26,54]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=3.00', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.57', 'le_us=3051', 'est[2.91,0.50,-0.30,54]']"
"['592F[4.00,0.00,0.00]=1.30', 'CD37[0.00,0.00,0.00]=2.99', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.64', 'le_us=3051', 'est[2.91,0.51,-0.34,54]']"
"['592F[4.00,0.00,0.00]=1.23', 'CD37[0.00,0.00,0.00]=3.01', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.59', 'le_us=2807', 'est[2.92,0.50,-0.35,54]']"
"['592F[4.00,0.00,0.00]=1.31', 'CD37[0.00,0.00,0.00]=2.99', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.65', 'le_us=3021', 'est[2.91,0.51,-0.38,54]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=2.99', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.52', 'le_us=2807', 'est[2.91,0.51,-0.38,54]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=3.04', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.60', 'le_us=3112', 'est[2.92,0.52,-0.40,54]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=3.05', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.55', 'le_us=2777', 'est[2.93,0.52,-0.43,55]']"
"['592F[4.00,0.00,0.00]=1.30', 'CD37[0.00,0.00,0.00]=3.02', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.54', 'le_us=2807', 'est[2.93,0.52,-0.46,55]']"
"['592F[4.00,0.00,0.00]=1.29', 'CD37[0.00,0.00,0.00]=3.03', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.57', 'le_us=2777', 'est[2.93,0.52,-0.48,55]']"
"['592F[4.00,0.00,0.00]=1.29', 'CD37[0.00,0.00,0.00]=3.06', '5B01[4.00,4.00,0.00]=3.74', '1495[0.00,4.00,0.00]=4.58', 'le_us=2746', 'est[2.94,0.50,-0.51,56]']"
"['592F[4.00,0.00,0.00]=1.29', 'CD37[0.00,0.00,0.00]=3.05', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.53', 'le_us=2777', 'est[2.94,0.50,-0.53,55]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=3.00', '5B01[4.00,4.00,0.00]=3.70', '1495[0.00,4.00,0.00]=4.64', 'le_us=3143', 'est[2.96,0.48,-0.23,57]']"
"['592F[4.00,0.00,0.00]=1.28', 'CD37[0.00,0.00,0.00]=3.09', '5B01[4.00,4.00,0.00]=3.70', '1495[0.00,4.00,0.00]=4.54', 'le_us=2868', 'est[2.96,0.48,-0.32,55]']"
"['592F[4.00,0.00,0.00]=1.31', 'CD37[0.00,0.00,0.00]=3.00', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.55', 'le_us=2807', 'est[2.95,0.49,-0.37,54]']"
"['592F[4.00,0.00,0.00]=1.30', 'CD37[0.00,0.00,0.00]=2.99', '5B01[4.00,4.00,0.00]=3.73', '1495[0.00,4.00,0.00]=4.50', 'le_us=2838', 'est[2.94,0.48,-0.41,55]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=3.01', '5B01[4.00,4.00,0.00]=3.76', '1495[0.00,4.00,0.00]=4.44', 'le_us=3051', 'est[2.94,0.47,-0.43,56]']"
"['592F[4.00,0.00,0.00]=1.30', 'CD37[0.00,0.00,0.00]=3.04', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.63', 'le_us=2746', 'est[2.94,0.48,-0.46,55]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=2.99', '5B01[4.00,4.00,0.00]=3.71', 'le_us=610', 'est[2.93,0.48,-0.46,71]']"
"['592F[4.00,0.00,0.00]=1.31', 'CD37[0.00,0.00,0.00]=3.02', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.59', 'le_us=2746', 'est[2.93,0.49,-0.48,54]']"
"['592F[4.00,0.00,0.00]=1.26', 'CD37[0.00,0.00,0.00]=3.03', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.53', 'le_us=2746', 'est[2.94,0.50,-0.48,55]']"
"['592F[4.00,0.00,0.00]=1.31', 'CD37[0.00,0.00,0.00]=3.04', '5B01[4.00,4.00,0.00]=3.76', '1495[0.00,4.00,0.00]=4.60', 'le_us=2746', 'est[2.94,0.49,-0.52,56]']"
"['592F[4.00,0.00,0.00]=1.30', 'CD37[0.00,0.00,0.00]=3.06', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.62', 'le_us=2807', 'est[2.94,0.49,-0.54,55]']"
"['592F[4.00,0.00,0.00]=1.33', 'CD37[0.00,0.00,0.00]=3.03', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.59', 'le_us=2746', 'est[2.94,0.51,-0.54,54]']"
"['592F[4.00,0.00,0.00]=1.32', 'CD37[0.00,0.00,0.00]=3.06', '5B01[4.00,4.00,0.00]=3.71', '1495[0.00,4.00,0.00]=4.54', 'le_us=2746', 'est[2.94,0.50,-0.57,55]']"
"['592F[4.00,0.00,0.00]=1.29', 'CD37[0.00,0.00,0.00]=3.04', '5B01[4.00,4.00,0.00]=3.75', '1495[0.00,4.00,0.00]=4.58', 'le_us=2716', 'est[2.94,0.49,-0.57,56]']"
"['592F[4.00,0.00,0.00]=1.30', 'CD37[0.00,0.00,0.00]=3.02', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.56', 'le_us=2777', 'est[2.94,0.50,-0.55,54]']"
"['592F[4.00,0.00,0.00]=1.31', 'CD37[0.00,0.00,0.00]=3.01', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.53', 'le_us=2777', 'est[2.93,0.51,-0.53,54]']"
"['592F[4.00,0.00,0.00]=1.33', 'CD37[0.00,0.00,0.00]=3.01', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.60', 'le_us=2746', 'est[2.93,0.52,-0.54,54]']"
"['592F[4.00,0.00,0.00]=1.30', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.53', 'le_us=2777', 'est[2.92,0.52,-0.52,54]']"
