data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.99', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5249', 'est[-0.04,-0.03,-0.01,70]']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.90', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.99', 'le_us=671', 'est[-0.05,0.21,-0.40,80]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '592F[4.00,0.00,0.00]=5.82', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5249', 'est[-0.03,0.16,-0.30,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=5.90', '5B01[4.00,4.00,0.00]=5.66', 'le_us=5401', 'est[-0.04,0.10,-0.23,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=5.91', '5B01[4.00,4.00,0.00]=5.68']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.89', '1495[0.00,4.00,0.00]=4.04']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=4.03']"
"['5B01[4.00,4.00,0.00]=5.74', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.88', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.75', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.10', '1495[0.00,4.00,0.00]=4.04']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.03', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.11', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=4.00']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.23', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=3.91', 'le_us=6713', 'est[-0.07,0.05,-0.18,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '592F[4.00,0.00,0.00]=5.85', '5B01[4.00,4.00,0.00]=5.63', 'le_us=5554', 'est[-0.05,0.01,-0.14,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '592F[4.00,0.00,0.00]=5.82', '5B01[4.00,4.00,0.00]=5.63', 'le_us=5401', 'est[-0.04,-0.01,-0.11,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.58']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=4.00']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=4.03']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=3.92']"
